collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
125,-1,102667,-3.41393,0.85888,13.0624,2.8012,321,12,3,44.9307,0.144531,0.554688,31.1311,1,286.939819,1
218,-1,171002,-2.93607,0.560673,5.29689,1.07561,321,10,3,140.529,0.210938,1.0625,31.8958,1,736.044556,-1
252,-1,197209,-3.73895,0.510914,10.7491,0.0968424,321,10,3,51.1675,0.232422,1.30469,26.5259,1,910.683838,-1
719,-5,540836,-3.46161,0.574716,9.16664,-0.345634,321,12,3,134.236,0.0927734,0.703125,18.2902,1,611.293945,1
877,-5,657418,-2.9556,0.560175,5.39596,2.50845,211,10,3,105.35,0.173828,1.20312,36.868,0,12.463362,-1
1228,-6,927709,-3.39902,1.03663,15.5331,-2.40708,211,10,3,149.19,0.10498,0.964844,25.4423,1,37.439198,-1
1298,-6,984131,-3.3951,0.528448,7.88741,-2.41848,211,11,3,34.6643,0.124512,1.71875,30.1511,1,12.470371,-1
486,-1,377185,-3.24349,0.618311,7.93356,-1.81615,211,12,3,61.9929,0.0500488,1.07031,33.5247,1,12.517345,1
510,-1,398468,-3.08132,0.695416,7.5915,0.943233,211,10,3,174.306,0.0673828,0.429688,25.0837,1,835.875305,1
683,-8,530136,-3.78511,2.86684,63.161,-0.805565,421,10,3,224.494,0.242188,0.220703,19.5371,1,137.236343,-1
777,-8,599809,-3.11529,1.10048,12.4269,1.17701,321,10,3,84.1572,0.11084,1.32031,49.4752,1,12.487798,-1
812,-8,626148,-3.11233,0.892666,10.0504,1.35614,211,12,3,141.992,0.251953,1.33594,54.4637,1,12.491887,-1
1365,-9,1048237,-3.31359,0.78603,10.8158,-1.20788,321,10,3,108.639,0.0437012,0.416016,45.5915,1,112.267715,1
1518,-9,1163696,-3.10989,1.376,15.4547,1.36707,411,10,3,72.5485,0.0927734,0.417969,50.2717,1,461.580322,1
1531,-9,1178883,-2.67608,0.684263,4.99406,-0.327706,211,11,3,81.5555,0.121094,0.332031,58.6414,1,12.476736,-1
1647,-9,1259176,-3.20973,0.502207,6.23055,-2.24241,211,10,3,95.4764,0.0742188,1.57812,31.6599,0,586.342041,1
11,-1,155529,-3.72719,1.29815,26.9927,0.843287,411,10,3,173.831,0.0927734,0.384766,19.0258,1,361.783264,-1
